date;relationships;employment;moscow;oxfam;air travel;isPartial
2022-01-01;20;19;20;16;6;False
2022-01-02;26;29;15;19;11;False
2022-01-03;31;42;19;22;9;False
2022-01-04;30;82;20;18;9;False
2022-01-05;28;73;18;21;13;False
2022-01-06;32;73;16;17;10;False
2022-01-07;29;71;22;18;10;False
2022-01-08;24;32;19;16;12;False
2022-01-09;30;36;13;19;8;False
2022-01-10;35;80;20;21;16;False
2022-01-11;31;80;20;18;11;False
2022-01-12;31;73;18;15;13;False
2022-01-13;28;82;27;22;15;False
2022-01-14;25;62;20;17;13;False
2022-01-15;24;34;23;21;12;False
2022-01-16;26;46;19;13;14;False
2022-01-17;32;72;21;19;9;False
2022-01-18;26;74;21;19;8;False
2022-01-19;27;81;20;16;12;False
2022-01-20;30;72;24;14;8;False
2022-01-21;22;64;24;13;8;False
2022-01-22;28;38;24;17;7;False
2022-01-23;27;39;21;14;12;False
2022-01-24;37;85;27;18;14;False
2022-01-25;33;84;23;12;9;False
2022-01-26;29;83;20;14;11;False
2022-01-27;26;83;23;14;10;False
2022-01-28;23;100;20;16;11;False
2022-01-29;19;39;20;15;9;False
2022-01-30;26;40;15;18;11;False
2022-01-31;25;89;18;16;14;False
