date;Child benefits;Albania holidays;Travel & leisure;Side dishes;air travel;isPartial
2022-01-01;8;0;0;19;34;False
2022-01-02;33;7;0;16;63;False
2022-01-03;23;0;11;20;51;False
2022-01-04;12;11;0;15;54;False
2022-01-05;30;0;0;36;77;False
2022-01-06;30;0;0;19;61;False
2022-01-07;18;0;0;30;63;False
2022-01-08;20;0;0;27;71;False
2022-01-09;25;0;0;29;55;False
2022-01-10;24;9;0;28;97;False
2022-01-11;43;0;0;22;79;False
2022-01-12;23;0;0;20;67;False
2022-01-13;39;0;0;9;100;False
2022-01-14;34;0;0;24;84;False
2022-01-15;9;6;10;20;66;False
2022-01-16;52;0;0;27;72;False
2022-01-17;32;7;0;7;65;False
2022-01-18;22;5;5;35;59;False
2022-01-19;32;0;0;8;74;False
2022-01-20;27;0;0;27;54;False
2022-01-21;31;0;0;17;38;False
2022-01-22;19;0;0;33;53;False
2022-01-23;29;0;0;16;69;False
2022-01-24;38;0;0;18;97;False
2022-01-25;30;0;0;9;49;False
2022-01-26;56;6;0;0;64;False
2022-01-27;34;0;0;14;71;False
2022-01-28;37;0;0;14;49;False
2022-01-29;24;0;0;23;60;False
2022-01-30;23;0;0;31;71;False
2022-01-31;44;0;0;20;82;False
