date;jean-jacques savin;istanbul;gaming;asylum;air travel;isPartial
2022-01-01;1;19;73;8;2;False
2022-01-02;0;17;83;10;3;False
2022-01-03;0;19;83;9;3;False
2022-01-04;1;15;79;9;3;False
2022-01-05;0;15;68;9;4;False
2022-01-06;0;18;65;10;3;False
2022-01-07;0;18;71;9;4;False
2022-01-08;0;20;77;8;4;False
2022-01-09;0;20;83;10;3;False
2022-01-10;0;19;64;11;5;False
2022-01-11;0;17;62;10;4;False
2022-01-12;0;16;71;9;4;False
2022-01-13;0;16;58;8;4;False
2022-01-14;0;18;58;9;4;False
2022-01-15;0;21;70;10;4;False
2022-01-16;0;22;78;10;4;False
2022-01-17;0;18;55;10;3;False
2022-01-18;0;16;64;8;3;False
2022-01-19;0;17;56;8;4;False
2022-01-20;0;14;60;8;2;False
2022-01-21;0;18;57;7;1;False
2022-01-22;1;22;69;8;4;False
2022-01-23;0;24;73;10;4;False
2022-01-24;1;28;100;12;4;False
2022-01-25;0;26;63;8;3;False
2022-01-26;0;26;67;8;3;False
2022-01-27;0;17;54;7;3;False
2022-01-28;0;18;64;9;3;False
2022-01-29;0;22;72;9;3;False
2022-01-30;0;23;71;9;3;False
2022-01-31;0;18;61;7;4;False
