date;Sony Pictures;Tobey Maguire;War films;Dunkirk;air travel;isPartial
2022-01-01;2;69;10;10;8;False
2022-01-02;0;100;13;21;14;False
2022-01-03;0;72;7;14;12;False
2022-01-04;0;50;6;16;12;False
2022-01-05;5;51;3;8;17;False
2022-01-06;1;41;7;13;14;False
2022-01-07;0;52;5;11;14;False
2022-01-08;0;93;9;16;16;False
2022-01-09;2;61;6;12;12;False
2022-01-10;0;39;8;14;22;False
2022-01-11;2;28;6;10;18;False
2022-01-12;0;27;2;9;15;False
2022-01-13;4;35;7;13;22;False
2022-01-14;0;31;5;9;19;False
2022-01-15;0;52;13;15;15;False
2022-01-16;2;48;12;14;16;False
2022-01-17;3;36;3;7;15;False
2022-01-18;6;24;7;8;13;False
2022-01-19;1;16;5;9;17;False
2022-01-20;2;22;1;7;12;False
2022-01-21;1;21;9;12;9;False
2022-01-22;2;30;11;9;12;False
2022-01-23;0;48;10;16;15;False
2022-01-24;0;22;7;16;22;False
2022-01-25;0;13;6;8;11;False
2022-01-26;2;16;7;13;14;False
2022-01-27;1;25;9;10;16;False
2022-01-28;1;23;5;11;11;False
2022-01-29;2;39;10;15;13;False
2022-01-30;2;34;9;11;16;False
2022-01-31;3;21;6;14;19;False
