date;Top 10s;Press releases;Press releases 2022;Thérèse Coffey;air travel;isPartial
2022-01-01;0;0;0;9;34;False
2022-01-02;0;0;0;0;63;False
2022-01-03;0;7;0;9;51;False
2022-01-04;11;6;0;0;54;False
2022-01-05;0;0;0;10;77;False
2022-01-06;6;14;5;0;61;False
2022-01-07;0;9;0;0;63;False
2022-01-08;9;8;0;0;71;False
2022-01-09;0;7;0;0;55;False
2022-01-10;0;20;0;0;97;False
2022-01-11;5;12;0;7;79;False
2022-01-12;4;0;0;0;67;False
2022-01-13;6;33;0;0;100;False
2022-01-14;6;0;0;0;84;False
2022-01-15;0;0;13;0;66;False
2022-01-16;0;0;13;0;72;False
2022-01-17;0;23;0;0;65;False
2022-01-18;6;0;8;0;59;False
2022-01-19;0;0;0;0;74;False
2022-01-20;0;6;0;5;54;False
2022-01-21;0;0;0;0;38;False
2022-01-22;0;7;5;0;53;False
2022-01-23;0;5;0;0;69;False
2022-01-24;0;13;0;0;97;False
2022-01-25;0;10;0;6;49;False
2022-01-26;0;6;11;0;64;False
2022-01-27;4;17;8;0;71;False
2022-01-28;4;0;0;0;49;False
2022-01-29;6;0;0;0;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;0;5;0;82;False
