date;Women's cricket;Unilever;Investing;Comics and graphic novels;air travel;isPartial
2022-01-01;3;8;28;0;10;False
2022-01-02;0;11;36;0;19;False
2022-01-03;2;10;40;3;18;False
2022-01-04;2;30;51;0;25;False
2022-01-05;0;23;53;0;24;False
2022-01-06;0;29;57;4;22;False
2022-01-07;2;32;48;4;24;False
2022-01-08;1;7;38;0;20;False
2022-01-09;8;14;37;0;19;False
2022-01-10;3;25;52;0;29;False
2022-01-11;2;36;51;2;22;False
2022-01-12;3;38;45;1;23;False
2022-01-13;3;39;47;0;28;False
2022-01-14;4;32;35;0;25;False
2022-01-15;4;36;34;0;21;False
2022-01-16;4;25;33;0;25;False
2022-01-17;0;100;42;1;14;False
2022-01-18;3;83;38;0;20;False
2022-01-19;1;70;48;1;21;False
2022-01-20;4;54;44;0;15;False
2022-01-21;4;43;40;0;13;False
2022-01-22;2;20;35;0;20;False
2022-01-23;0;18;28;3;22;False
2022-01-24;2;87;54;0;30;False
2022-01-25;0;86;47;0;17;False
2022-01-26;0;49;43;0;22;False
2022-01-27;7;47;37;3;18;False
2022-01-28;6;43;35;0;17;False
2022-01-29;5;11;17;2;18;False
2022-01-30;11;16;33;0;26;False
2022-01-31;4;37;39;3;26;False
