date;Carrie Johnson;Pope Benedict XVI;The papacy;Catholicism;air travel;isPartial
2022-01-01;5;10;0;11;25;False
2022-01-02;4;0;0;6;47;False
2022-01-03;5;0;0;10;38;False
2022-01-04;0;6;0;4;40;False
2022-01-05;0;0;0;11;58;False
2022-01-06;12;0;0;0;46;False
2022-01-07;10;0;0;4;47;False
2022-01-08;6;0;5;0;53;False
2022-01-09;0;0;0;18;41;False
2022-01-10;24;0;0;15;72;False
2022-01-11;73;0;0;7;59;False
2022-01-12;78;0;0;9;50;False
2022-01-13;48;7;0;0;75;False
2022-01-14;32;7;0;7;63;False
2022-01-15;60;11;0;0;49;False
2022-01-16;100;0;0;15;54;False
2022-01-17;36;0;0;0;49;False
2022-01-18;19;0;0;6;44;False
2022-01-19;16;0;0;0;56;False
2022-01-20;23;36;0;4;40;False
2022-01-21;19;24;0;5;28;False
2022-01-22;26;4;0;4;40;False
2022-01-23;46;9;0;5;51;False
2022-01-24;46;5;0;3;73;False
2022-01-25;43;7;5;6;37;False
2022-01-26;54;0;0;14;48;False
2022-01-27;14;0;8;0;53;False
2022-01-28;19;0;0;3;37;False
2022-01-29;30;0;0;0;45;False
2022-01-30;29;4;0;11;53;False
2022-01-31;62;0;3;5;62;False
