date;plants;kew gardens;biodiversity;turkey;air travel;isPartial
2022-01-01;52;10;0;97;2;False
2022-01-02;61;8;1;90;4;False
2022-01-03;57;7;1;76;3;False
2022-01-04;53;5;2;72;3;False
2022-01-05;50;6;2;74;4;False
2022-01-06;48;4;2;73;3;False
2022-01-07;46;6;2;66;4;False
2022-01-08;58;6;1;81;4;False
2022-01-09;72;8;2;94;3;False
2022-01-10;60;5;3;77;6;False
2022-01-11;53;4;3;81;4;False
2022-01-12;52;5;3;71;4;False
2022-01-13;61;4;1;73;6;False
2022-01-14;50;5;2;61;5;False
2022-01-15;72;6;1;86;4;False
2022-01-16;86;6;0;100;4;False
2022-01-17;57;5;4;77;4;False
2022-01-18;56;4;2;74;3;False
2022-01-19;51;4;3;72;4;False
2022-01-20;52;4;3;69;3;False
2022-01-21;52;5;3;66;2;False
2022-01-22;67;7;2;80;3;False
2022-01-23;80;6;2;89;4;False
2022-01-24;68;5;4;91;6;False
2022-01-25;58;5;3;81;3;False
2022-01-26;58;4;3;76;4;False
2022-01-27;58;3;3;70;4;False
2022-01-28;54;5;1;68;3;False
2022-01-29;69;6;1;78;3;False
2022-01-30;76;7;2;84;4;False
2022-01-31;61;5;3;72;5;False
