date;Roderick Williams;Climate Change Committee;Coachella;Harry Styles;air travel;isPartial
2022-01-01;0;0;0;12;2;False
2022-01-02;1;0;0;9;3;False
2022-01-03;0;0;0;10;2;False
2022-01-04;0;0;0;9;3;False
2022-01-05;0;0;1;8;4;False
2022-01-06;0;0;1;8;3;False
2022-01-07;0;0;1;6;3;False
2022-01-08;0;0;1;7;3;False
2022-01-09;0;0;1;8;3;False
2022-01-10;0;0;1;6;4;False
2022-01-11;0;0;0;7;4;False
2022-01-12;0;0;2;13;3;False
2022-01-13;0;0;19;16;5;False
2022-01-14;0;0;5;14;4;False
2022-01-15;0;0;3;19;3;False
2022-01-16;1;0;2;17;3;False
2022-01-17;0;0;1;11;3;False
2022-01-18;0;0;2;9;3;False
2022-01-19;0;0;1;62;3;False
2022-01-20;0;0;1;39;3;False
2022-01-21;0;0;1;30;2;False
2022-01-22;0;0;0;30;2;False
2022-01-23;0;0;1;28;3;False
2022-01-24;0;0;1;52;5;False
2022-01-25;0;0;1;28;2;False
2022-01-26;0;0;1;61;3;False
2022-01-27;0;0;1;64;3;False
2022-01-28;0;0;1;100;2;False
2022-01-29;0;0;1;33;3;False
2022-01-30;0;0;1;20;3;False
2022-01-31;0;0;1;18;4;False
