date;Carlos Santana;Mick Jagger;Gram Parsons;Music festivals;air travel;isPartial
2022-01-01;0;50;7;14;31;False
2022-01-02;0;43;0;13;58;False
2022-01-03;0;13;0;15;48;False
2022-01-04;0;19;17;14;50;False
2022-01-05;6;31;0;16;72;False
2022-01-06;0;28;6;0;57;False
2022-01-07;0;25;0;17;59;False
2022-01-08;21;40;0;14;66;False
2022-01-09;0;22;0;17;51;False
2022-01-10;5;12;6;0;90;False
2022-01-11;0;20;10;12;73;False
2022-01-12;0;19;0;0;63;False
2022-01-13;0;18;0;23;93;False
2022-01-14;0;73;0;19;78;False
2022-01-15;14;100;0;21;62;False
2022-01-16;5;29;0;12;67;False
2022-01-17;0;28;5;22;60;False
2022-01-18;7;33;6;32;55;False
2022-01-19;0;28;0;15;69;False
2022-01-20;0;25;6;9;50;False
2022-01-21;0;39;0;22;35;False
2022-01-22;0;44;0;14;49;False
2022-01-23;7;29;0;27;64;False
2022-01-24;5;32;0;17;90;False
2022-01-25;0;20;0;32;46;False
2022-01-26;7;18;6;21;59;False
2022-01-27;0;20;0;21;67;False
2022-01-28;0;33;4;27;46;False
2022-01-29;0;56;0;17;56;False
2022-01-30;0;26;4;19;66;False
2022-01-31;0;18;0;16;77;False
