date;cctv;nikki grahame;essex lorry deaths;omicron;air travel;isPartial
2022-01-01;7;1;0;93;1;False
2022-01-02;9;2;0;94;2;False
2022-01-03;10;2;0;100;2;False
2022-01-04;8;1;0;97;2;False
2022-01-05;9;0;1;76;2;False
2022-01-06;7;1;0;61;2;False
2022-01-07;8;1;0;57;2;False
2022-01-08;6;0;0;49;2;False
2022-01-09;8;0;0;54;1;False
2022-01-10;8;0;0;50;2;False
2022-01-11;9;0;0;45;2;False
2022-01-12;8;0;0;46;2;False
2022-01-13;10;0;0;43;2;False
2022-01-14;7;0;0;37;2;False
2022-01-15;9;0;0;38;2;False
2022-01-16;10;0;0;38;2;False
2022-01-17;8;0;0;41;2;False
2022-01-18;8;0;0;39;2;False
2022-01-19;8;0;0;33;2;False
2022-01-20;8;0;0;31;1;False
2022-01-21;8;0;0;34;1;False
2022-01-22;8;0;0;32;2;False
2022-01-23;7;0;0;34;2;False
2022-01-24;10;1;0;42;2;False
2022-01-25;7;0;0;31;1;False
2022-01-26;7;0;0;34;2;False
2022-01-27;8;0;0;26;2;False
2022-01-28;9;0;0;34;1;False
2022-01-29;9;0;0;30;1;False
2022-01-30;10;0;0;35;2;False
2022-01-31;10;0;0;31;2;False
