date;Vatican;ITV channel;Channel 5;ITV plc;air travel;isPartial
2022-01-01;5;9;40;0;5;False
2022-01-02;5;8;28;0;8;False
2022-01-03;5;7;27;0;7;False
2022-01-04;5;9;31;0;7;False
2022-01-05;7;4;32;1;10;False
2022-01-06;6;4;30;1;8;False
2022-01-07;6;7;27;0;8;False
2022-01-08;5;9;30;0;10;False
2022-01-09;7;12;37;0;7;False
2022-01-10;5;8;29;1;13;False
2022-01-11;6;5;26;1;11;False
2022-01-12;5;7;25;0;9;False
2022-01-13;6;5;35;0;13;False
2022-01-14;4;4;31;0;11;False
2022-01-15;5;7;36;0;9;False
2022-01-16;6;4;33;0;10;False
2022-01-17;7;6;30;0;9;False
2022-01-18;4;4;35;0;8;False
2022-01-19;4;6;27;0;10;False
2022-01-20;8;4;31;1;7;False
2022-01-21;6;5;30;0;5;False
2022-01-22;6;9;37;0;7;False
2022-01-23;8;6;31;0;9;False
2022-01-24;9;6;47;1;13;False
2022-01-25;7;6;31;0;7;False
2022-01-26;6;7;33;0;9;False
2022-01-27;5;4;35;0;10;False
2022-01-28;7;6;37;2;7;False
2022-01-29;6;8;33;0;8;False
2022-01-30;8;6;35;0;10;False
2022-01-31;6;8;100;0;11;False
