date;Ella Hickson;Northern Ireland holidays;Giorgio Locatelli;Tom Kerridge;air travel;isPartial
2022-01-01;0;5;0;11;13;False
2022-01-02;0;4;0;14;24;False
2022-01-03;0;9;0;92;20;False
2022-01-04;2;11;0;51;21;False
2022-01-05;0;7;0;27;30;False
2022-01-06;0;4;0;45;24;False
2022-01-07;2;4;0;35;25;False
2022-01-08;2;0;5;36;28;False
2022-01-09;0;6;0;29;21;False
2022-01-10;0;9;0;100;38;False
2022-01-11;0;10;3;42;31;False
2022-01-12;0;0;0;25;26;False
2022-01-13;2;3;0;31;39;False
2022-01-14;4;7;3;19;33;False
2022-01-15;0;3;0;25;26;False
2022-01-16;5;0;0;20;28;False
2022-01-17;0;0;0;73;25;False
2022-01-18;0;3;0;34;23;False
2022-01-19;0;9;0;25;29;False
2022-01-20;0;2;0;17;21;False
2022-01-21;0;4;0;26;15;False
2022-01-22;0;0;2;27;21;False
2022-01-23;0;5;0;25;27;False
2022-01-24;0;11;0;68;38;False
2022-01-25;0;0;0;22;19;False
2022-01-26;0;8;0;22;25;False
2022-01-27;2;2;0;12;28;False
2022-01-28;0;8;0;20;19;False
2022-01-29;0;4;0;26;23;False
2022-01-30;2;3;0;14;28;False
2022-01-31;0;12;0;92;32;False
