date;Indigenous incarceration;Buckinghamshire;Ehud Barak;Ariel Sharon;air travel;isPartial
2022-01-01;0;83;0;0;20;False
2022-01-02;0;87;0;0;38;False
2022-01-03;0;80;0;0;31;False
2022-01-04;0;85;0;0;33;False
2022-01-05;0;86;0;0;47;False
2022-01-06;0;70;0;6;37;False
2022-01-07;0;83;0;0;38;False
2022-01-08;0;75;3;10;43;False
2022-01-09;0;84;3;0;33;False
2022-01-10;0;84;5;3;59;False
2022-01-11;0;84;0;3;48;False
2022-01-12;0;82;0;0;41;False
2022-01-13;0;79;4;0;61;False
2022-01-14;0;72;3;0;51;False
2022-01-15;0;69;0;0;40;False
2022-01-16;0;69;9;5;44;False
2022-01-17;0;99;0;0;39;False
2022-01-18;0;91;3;0;36;False
2022-01-19;0;84;0;0;45;False
2022-01-20;0;62;4;0;33;False
2022-01-21;0;86;3;3;23;False
2022-01-22;0;74;0;0;32;False
2022-01-23;0;73;0;0;42;False
2022-01-24;0;100;0;0;59;False
2022-01-25;0;77;0;0;30;False
2022-01-26;0;68;0;0;39;False
2022-01-27;0;77;0;0;43;False
2022-01-28;0;78;0;0;30;False
2022-01-29;0;65;0;0;36;False
2022-01-30;0;55;0;0;43;False
2022-01-31;0;83;7;5;50;False
