date;Reading;Fortnite;Serpentine Gallery;Children's theatre;air travel;isPartial
2022-01-01;68;75;0;0;1;False
2022-01-02;75;80;0;0;2;False
2022-01-03;84;76;0;1;2;False
2022-01-04;79;68;0;0;2;False
2022-01-05;75;54;0;0;3;False
2022-01-06;77;50;0;0;2;False
2022-01-07;77;49;0;0;2;False
2022-01-08;90;71;0;0;2;False
2022-01-09;79;67;0;0;2;False
2022-01-10;100;52;0;0;3;False
2022-01-11;99;43;0;1;3;False
2022-01-12;87;42;0;0;2;False
2022-01-13;90;48;0;0;3;False
2022-01-14;76;50;0;0;3;False
2022-01-15;84;70;0;0;2;False
2022-01-16;81;69;1;0;2;False
2022-01-17;87;42;0;0;2;False
2022-01-18;81;61;1;0;2;False
2022-01-19;82;52;1;0;3;False
2022-01-20;78;51;1;0;2;False
2022-01-21;76;56;1;0;1;False
2022-01-22;76;77;1;0;2;False
2022-01-23;75;66;1;0;2;False
2022-01-24;86;52;1;0;3;False
2022-01-25;77;41;1;0;2;False
2022-01-26;84;39;0;0;2;False
2022-01-27;79;41;1;0;2;False
2022-01-28;81;48;0;0;2;False
2022-01-29;81;61;1;0;2;False
2022-01-30;75;56;1;0;2;False
2022-01-31;90;42;0;0;3;False
