date;google;suffolk;emily thornberry;ashling murphy;air travel;isPartial
2022-01-01;64;2;0;0;0;False
2022-01-02;61;2;0;0;0;False
2022-01-03;65;2;0;0;0;False
2022-01-04;81;3;0;0;0;False
2022-01-05;84;3;0;0;0;False
2022-01-06;81;2;0;0;0;False
2022-01-07;81;2;0;0;0;False
2022-01-08;68;3;0;0;0;False
2022-01-09;66;3;0;0;0;False
2022-01-10;100;3;0;0;0;False
2022-01-11;86;3;0;0;0;False
2022-01-12;90;3;0;0;0;False
2022-01-13;96;3;0;5;0;False
2022-01-14;77;2;0;6;0;False
2022-01-15;74;2;0;4;0;False
2022-01-16;72;2;0;2;0;False
2022-01-17;96;3;0;1;0;False
2022-01-18;89;2;0;2;0;False
2022-01-19;86;2;0;1;0;False
2022-01-20;83;2;0;1;0;False
2022-01-21;76;2;0;0;0;False
2022-01-22;72;2;0;0;0;False
2022-01-23;70;2;0;0;0;False
2022-01-24;97;3;0;0;0;False
2022-01-25;83;3;0;0;0;False
2022-01-26;84;3;0;0;0;False
2022-01-27;79;3;0;0;0;False
2022-01-28;87;2;0;0;0;False
2022-01-29;67;2;0;0;0;False
2022-01-30;61;2;0;0;0;False
2022-01-31;99;3;0;0;0;False
