date;Mergers, acquisitions and funding;IVF;Google;Airbnb;air travel;isPartial
2022-01-01;0;0;64;4;0;False
2022-01-02;0;1;61;5;0;False
2022-01-03;0;1;65;5;0;False
2022-01-04;0;1;81;4;0;False
2022-01-05;0;1;84;4;0;False
2022-01-06;0;1;81;4;0;False
2022-01-07;0;1;81;4;0;False
2022-01-08;0;1;68;5;0;False
2022-01-09;0;1;66;6;0;False
2022-01-10;0;1;100;5;0;False
2022-01-11;0;1;86;4;0;False
2022-01-12;0;1;90;4;0;False
2022-01-13;0;1;96;5;0;False
2022-01-14;0;1;77;4;0;False
2022-01-15;0;1;74;5;0;False
2022-01-16;0;0;72;7;0;False
2022-01-17;0;1;96;5;0;False
2022-01-18;0;1;89;5;0;False
2022-01-19;0;1;86;5;0;False
2022-01-20;0;1;83;5;0;False
2022-01-21;0;1;76;4;0;False
2022-01-22;0;1;72;5;0;False
2022-01-23;0;1;70;6;0;False
2022-01-24;0;1;97;6;0;False
2022-01-25;0;1;83;5;0;False
2022-01-26;0;1;84;5;0;False
2022-01-27;0;1;79;4;0;False
2022-01-28;0;1;87;5;0;False
2022-01-29;0;1;67;5;0;False
2022-01-30;0;1;61;6;0;False
2022-01-31;0;1;99;5;0;False
