date;Ulster Unionist Party (UUP);Northern Irish politics;Nevada;Postal service;air travel;isPartial
2022-01-01;0;0;42;0;32;False
2022-01-02;0;0;79;18;60;False
2022-01-03;0;6;64;30;49;False
2022-01-04;0;0;66;11;52;False
2022-01-05;0;10;52;7;74;False
2022-01-06;0;0;59;0;59;False
2022-01-07;0;6;63;7;61;False
2022-01-08;0;0;65;23;68;False
2022-01-09;0;0;74;0;53;False
2022-01-10;0;0;69;17;93;False
2022-01-11;0;0;73;17;76;False
2022-01-12;0;0;54;8;65;False
2022-01-13;0;7;66;18;96;False
2022-01-14;0;9;47;14;80;False
2022-01-15;0;0;86;0;64;False
2022-01-16;0;0;79;7;69;False
2022-01-17;0;0;76;18;62;False
2022-01-18;0;4;44;12;57;False
2022-01-19;0;0;54;7;72;False
2022-01-20;0;0;60;8;52;False
2022-01-21;0;5;60;11;36;False
2022-01-22;0;0;76;0;51;False
2022-01-23;0;0;100;8;66;False
2022-01-24;0;0;54;13;93;False
2022-01-25;0;0;46;11;47;False
2022-01-26;0;0;55;5;61;False
2022-01-27;0;0;46;0;69;False
2022-01-28;0;0;70;9;48;False
2022-01-29;0;0;62;0;58;False
2022-01-30;0;0;71;14;69;False
2022-01-31;0;0;60;15;79;False
