date;Deafness and hearing loss;Rose Ayling-Ellis;Ben Wallace;Zac Goldsmith;air travel;isPartial
2022-01-01;0;43;7;19;34;False
2022-01-02;0;38;0;0;63;False
2022-01-03;0;25;0;0;51;False
2022-01-04;12;39;0;0;54;False
2022-01-05;0;22;0;0;77;False
2022-01-06;0;45;0;14;61;False
2022-01-07;0;26;4;0;63;False
2022-01-08;0;33;0;12;71;False
2022-01-09;8;40;6;5;55;False
2022-01-10;5;45;0;0;97;False
2022-01-11;5;68;0;0;79;False
2022-01-12;0;40;14;0;67;False
2022-01-13;0;44;6;25;100;False
2022-01-14;0;48;11;0;84;False
2022-01-15;0;23;0;11;66;False
2022-01-16;0;52;5;13;72;False
2022-01-17;0;54;8;0;65;False
2022-01-18;0;28;27;0;59;False
2022-01-19;0;23;18;0;74;False
2022-01-20;4;27;0;0;54;False
2022-01-21;0;43;0;0;38;False
2022-01-22;0;38;15;0;53;False
2022-01-23;0;32;10;0;69;False
2022-01-24;12;45;13;12;97;False
2022-01-25;0;59;17;0;49;False
2022-01-26;5;75;7;17;64;False
2022-01-27;0;69;12;14;71;False
2022-01-28;0;72;0;0;49;False
2022-01-29;0;40;17;0;60;False
2022-01-30;0;16;0;0;71;False
2022-01-31;0;38;10;0;82;False
