date;Jan Morris;Rugby league;Huddersfield Giants;Kevin De Bruyne;air travel;isPartial
2022-01-01;0;33;0;6;8;False
2022-01-02;0;33;0;8;16;False
2022-01-03;0;26;0;4;13;False
2022-01-04;0;23;0;3;13;False
2022-01-05;1;19;0;0;19;False
2022-01-06;0;20;0;0;15;False
2022-01-07;0;30;2;10;16;False
2022-01-08;4;41;0;5;18;False
2022-01-09;0;40;0;0;14;False
2022-01-10;0;34;0;6;24;False
2022-01-11;0;24;0;0;20;False
2022-01-12;2;34;0;2;17;False
2022-01-13;3;32;4;4;25;False
2022-01-14;0;28;2;2;21;False
2022-01-15;0;75;3;45;16;False
2022-01-16;2;67;3;12;18;False
2022-01-17;0;35;1;3;16;False
2022-01-18;0;36;1;2;15;False
2022-01-19;1;39;2;4;19;False
2022-01-20;0;30;2;5;13;False
2022-01-21;0;41;4;3;9;False
2022-01-22;0;53;0;9;13;False
2022-01-23;2;60;2;4;17;False
2022-01-24;0;37;5;4;24;False
2022-01-25;0;30;2;4;12;False
2022-01-26;0;44;0;4;16;False
2022-01-27;1;35;0;3;18;False
2022-01-28;0;44;0;4;12;False
2022-01-29;0;99;2;2;15;False
2022-01-30;0;100;7;7;18;False
2022-01-31;3;68;5;0;21;False
