date;National Theatre;Dennis Skinner;Shell;Jackie Chan;air travel;isPartial
2022-01-01;4;1;60;12;3;False
2022-01-02;6;0;67;6;6;False
2022-01-03;7;0;57;7;5;False
2022-01-04;8;1;72;4;5;False
2022-01-05;6;0;72;3;8;False
2022-01-06;6;0;76;6;6;False
2022-01-07;9;1;81;3;6;False
2022-01-08;6;1;68;15;7;False
2022-01-09;7;1;70;5;5;False
2022-01-10;9;0;74;5;10;False
2022-01-11;9;1;81;2;8;False
2022-01-12;8;2;72;1;7;False
2022-01-13;11;2;80;5;10;False
2022-01-14;8;0;68;3;8;False
2022-01-15;12;0;76;11;7;False
2022-01-16;9;0;66;7;7;False
2022-01-17;7;1;86;6;6;False
2022-01-18;9;1;77;3;6;False
2022-01-19;9;1;70;2;7;False
2022-01-20;8;1;73;2;5;False
2022-01-21;9;0;70;4;4;False
2022-01-22;10;2;63;5;5;False
2022-01-23;10;1;68;7;7;False
2022-01-24;8;0;90;5;10;False
2022-01-25;8;1;76;4;5;False
2022-01-26;9;1;88;3;6;False
2022-01-27;6;1;87;2;7;False
2022-01-28;10;0;83;4;5;False
2022-01-29;10;2;67;4;6;False
2022-01-30;7;1;70;4;7;False
2022-01-31;7;3;100;4;8;False
