date;spider-man;tom holland;instagram;whatsapp;air travel;isPartial
2022-01-01;7;16;100;27;1;False
2022-01-02;8;19;88;23;1;False
2022-01-03;6;15;80;26;1;False
2022-01-04;5;12;90;30;1;False
2022-01-05;4;12;85;29;1;False
2022-01-06;4;11;82;29;1;False
2022-01-07;4;11;77;29;1;False
2022-01-08;7;15;86;24;1;False
2022-01-09;5;13;87;25;1;False
2022-01-10;3;10;82;31;2;False
2022-01-11;3;8;73;29;1;False
2022-01-12;4;9;74;29;1;False
2022-01-13;3;10;80;32;2;False
2022-01-14;4;8;68;27;1;False
2022-01-15;5;11;86;25;1;False
2022-01-16;5;11;91;28;1;False
2022-01-17;3;7;77;31;1;False
2022-01-18;3;6;72;27;1;False
2022-01-19;2;6;68;27;1;False
2022-01-20;2;5;71;26;1;False
2022-01-21;3;7;74;26;1;False
2022-01-22;3;9;82;24;1;False
2022-01-23;5;9;86;25;1;False
2022-01-24;3;8;88;31;2;False
2022-01-25;3;7;73;26;1;False
2022-01-26;2;7;77;29;1;False
2022-01-27;2;6;60;28;1;False
2022-01-28;3;6;83;29;1;False
2022-01-29;4;10;80;25;1;False
2022-01-30;3;10;89;26;1;False
2022-01-31;2;8;85;30;1;False
