date;Stephen Joseph theatre;Panto season;Fairytales;Scarborough;air travel;isPartial
2022-01-01;0;0;0;100;6;False
2022-01-02;1;1;0;88;10;False
2022-01-03;0;0;0;89;8;False
2022-01-04;0;0;1;79;9;False
2022-01-05;1;0;0;77;13;False
2022-01-06;0;1;3;73;10;False
2022-01-07;1;0;1;66;10;False
2022-01-08;0;0;0;80;12;False
2022-01-09;1;0;0;78;9;False
2022-01-10;0;0;1;81;16;False
2022-01-11;1;0;1;70;13;False
2022-01-12;1;2;0;74;11;False
2022-01-13;2;0;0;84;16;False
2022-01-14;0;1;0;75;14;False
2022-01-15;1;0;0;85;11;False
2022-01-16;0;0;3;90;12;False
2022-01-17;0;0;1;79;11;False
2022-01-18;0;0;2;79;10;False
2022-01-19;1;0;1;71;12;False
2022-01-20;0;1;0;77;9;False
2022-01-21;1;0;0;79;6;False
2022-01-22;0;0;1;90;9;False
2022-01-23;0;1;1;75;11;False
2022-01-24;0;0;1;91;16;False
2022-01-25;0;2;1;75;8;False
2022-01-26;0;0;0;76;10;False
2022-01-27;0;2;1;77;12;False
2022-01-28;0;0;0;79;8;False
2022-01-29;0;0;0;97;10;False
2022-01-30;0;0;0;81;12;False
2022-01-31;0;1;1;79;14;False
