date;Big data;Ethical business;Prince William;Cybercrime;air travel;isPartial
2022-01-01;2;0;75;6;12;False
2022-01-02;5;2;49;0;21;False
2022-01-03;0;7;38;0;18;False
2022-01-04;13;0;40;2;18;False
2022-01-05;6;0;32;0;26;False
2022-01-06;16;1;27;3;21;False
2022-01-07;19;3;46;4;22;False
2022-01-08;6;0;40;0;24;False
2022-01-09;14;8;100;0;19;False
2022-01-10;14;0;38;7;33;False
2022-01-11;4;3;24;0;27;False
2022-01-12;17;2;26;2;23;False
2022-01-13;15;5;56;0;34;False
2022-01-14;10;0;36;5;29;False
2022-01-15;6;3;41;0;23;False
2022-01-16;12;0;40;2;25;False
2022-01-17;11;0;24;0;22;False
2022-01-18;11;3;26;3;20;False
2022-01-19;17;2;29;0;25;False
2022-01-20;17;2;38;0;18;False
2022-01-21;14;2;35;0;13;False
2022-01-22;17;0;32;5;18;False
2022-01-23;15;2;25;0;24;False
2022-01-24;22;2;24;0;33;False
2022-01-25;19;1;28;4;17;False
2022-01-26;20;0;20;4;22;False
2022-01-27;12;1;17;0;24;False
2022-01-28;11;4;30;3;17;False
2022-01-29;11;3;61;5;20;False
2022-01-30;8;3;32;0;24;False
2022-01-31;21;2;21;0;28;False
