date;IUCN red list of endangered species;The super-rich;France holidays;Skiing holidays;air travel;isPartial
2022-01-01;0;0;40;27;27;False
2022-01-02;0;0;41;42;51;False
2022-01-03;0;0;55;32;41;False
2022-01-04;0;0;55;21;43;False
2022-01-05;0;0;53;24;62;False
2022-01-06;0;0;58;23;49;False
2022-01-07;0;0;56;35;51;False
2022-01-08;0;0;73;39;57;False
2022-01-09;0;0;57;47;44;False
2022-01-10;0;0;74;41;78;False
2022-01-11;0;0;53;21;64;False
2022-01-12;0;0;59;29;54;False
2022-01-13;0;0;54;30;81;False
2022-01-14;0;0;19;26;68;False
2022-01-15;0;0;71;36;53;False
2022-01-16;0;0;100;50;58;False
2022-01-17;0;0;49;38;52;False
2022-01-18;0;0;37;24;48;False
2022-01-19;0;0;44;26;60;False
2022-01-20;0;0;37;27;44;False
2022-01-21;0;0;22;11;31;False
2022-01-22;0;0;39;27;43;False
2022-01-23;0;0;65;44;56;False
2022-01-24;0;0;67;26;78;False
2022-01-25;0;0;56;23;40;False
2022-01-26;0;0;42;29;52;False
2022-01-27;0;0;43;11;58;False
2022-01-28;0;0;32;13;40;False
2022-01-29;0;0;59;20;48;False
2022-01-30;0;0;65;33;58;False
2022-01-31;0;0;49;12;67;False
