date;manchester;singapore;asia pacific;immune system;air travel;isPartial
2022-01-01;69;4;0;1;0;False
2022-01-02;71;4;0;1;1;False
2022-01-03;88;4;0;1;0;False
2022-01-04;68;5;0;1;1;False
2022-01-05;69;5;0;1;1;False
2022-01-06;66;5;0;1;1;False
2022-01-07;74;5;0;1;1;False
2022-01-08;70;5;0;1;1;False
2022-01-09;65;5;0;1;1;False
2022-01-10;100;5;0;1;1;False
2022-01-11;74;5;0;1;1;False
2022-01-12;69;5;0;1;1;False
2022-01-13;72;5;0;1;1;False
2022-01-14;66;4;0;1;1;False
2022-01-15;97;5;0;1;1;False
2022-01-16;75;5;0;1;1;False
2022-01-17;71;5;0;1;1;False
2022-01-18;69;5;0;1;1;False
2022-01-19;75;4;0;1;1;False
2022-01-20;68;5;0;1;1;False
2022-01-21;65;5;0;1;0;False
2022-01-22;97;4;0;1;0;False
2022-01-23;73;5;0;1;1;False
2022-01-24;84;6;0;1;1;False
2022-01-25;69;5;0;1;0;False
2022-01-26;72;5;0;1;1;False
2022-01-27;69;4;0;1;1;False
2022-01-28;76;5;0;1;0;False
2022-01-29;79;5;0;1;1;False
2022-01-30;81;4;0;1;1;False
2022-01-31;80;5;0;1;1;False
