date;Maps;Social trends;Google Maps;Twenty20;air travel;isPartial
2022-01-01;40;0;25;0;1;False
2022-01-02;45;0;28;0;1;False
2022-01-03;47;0;28;0;1;False
2022-01-04;69;0;40;0;1;False
2022-01-05;73;0;40;0;1;False
2022-01-06;71;0;38;0;1;False
2022-01-07;75;0;43;0;1;False
2022-01-08;50;0;30;0;1;False
2022-01-09;52;0;32;0;1;False
2022-01-10;88;0;49;0;2;False
2022-01-11;92;0;47;0;1;False
2022-01-12;88;0;47;0;1;False
2022-01-13;96;0;50;0;2;False
2022-01-14;79;0;44;0;1;False
2022-01-15;61;0;36;0;1;False
2022-01-16;57;0;36;0;1;False
2022-01-17;100;0;51;0;1;False
2022-01-18;80;0;48;0;1;False
2022-01-19;82;0;46;0;1;False
2022-01-20;76;0;48;0;1;False
2022-01-21;87;0;46;0;1;False
2022-01-22;58;0;36;0;1;False
2022-01-23;58;0;32;0;1;False
2022-01-24;100;0;58;0;2;False
2022-01-25;84;0;45;0;1;False
2022-01-26;88;0;45;0;1;False
2022-01-27;80;0;44;0;1;False
2022-01-28;89;0;50;0;1;False
2022-01-29;57;0;33;0;1;False
2022-01-30;56;0;31;0;1;False
2022-01-31;95;0;50;0;1;False
