date;Mime;Hinduism;Barbican;Road transport;air travel;isPartial
2022-01-01;16;14;64;5;17;False
2022-01-02;11;21;88;8;32;False
2022-01-03;17;16;69;7;26;False
2022-01-04;11;12;62;5;27;False
2022-01-05;10;27;64;0;39;False
2022-01-06;10;16;70;7;31;False
2022-01-07;11;11;96;9;32;False
2022-01-08;17;14;76;0;36;False
2022-01-09;11;12;67;5;28;False
2022-01-10;15;25;80;9;49;False
2022-01-11;9;21;61;9;40;False
2022-01-12;10;22;73;3;34;False
2022-01-13;18;27;75;8;50;False
2022-01-14;11;23;73;5;42;False
2022-01-15;13;18;100;5;33;False
2022-01-16;19;15;86;8;36;False
2022-01-17;12;24;87;8;33;False
2022-01-18;0;25;80;4;30;False
2022-01-19;11;31;56;10;38;False
2022-01-20;14;14;52;5;27;False
2022-01-21;15;22;84;5;19;False
2022-01-22;15;23;90;6;27;False
2022-01-23;12;40;88;2;35;False
2022-01-24;5;25;55;14;49;False
2022-01-25;11;20;68;11;25;False
2022-01-26;15;23;61;4;32;False
2022-01-27;14;16;81;5;36;False
2022-01-28;16;15;70;0;25;False
2022-01-29;19;25;83;6;30;False
2022-01-30;22;20;79;7;36;False
2022-01-31;25;21;72;9;42;False
