date;Lille;Meteorology;Sex Pistols;Laurence Olivier;air travel;isPartial
2022-01-01;12;0;8;14;19;False
2022-01-02;23;0;26;9;36;False
2022-01-03;37;0;7;8;29;False
2022-01-04;100;9;10;5;31;False
2022-01-05;34;0;12;3;44;False
2022-01-06;18;0;7;0;35;False
2022-01-07;28;0;19;6;36;False
2022-01-08;24;3;22;3;41;False
2022-01-09;28;0;0;10;32;False
2022-01-10;30;0;8;0;55;False
2022-01-11;9;4;8;5;45;False
2022-01-12;18;5;14;5;39;False
2022-01-13;26;11;22;7;57;False
2022-01-14;28;0;9;12;48;False
2022-01-15;21;15;16;0;38;False
2022-01-16;74;8;11;0;41;False
2022-01-17;33;0;9;10;37;False
2022-01-18;27;7;12;0;34;False
2022-01-19;36;3;12;3;43;False
2022-01-20;27;0;7;3;31;False
2022-01-21;25;3;11;0;22;False
2022-01-22;44;0;16;0;30;False
2022-01-23;43;0;17;5;39;False
2022-01-24;35;0;10;8;56;False
2022-01-25;23;0;0;0;28;False
2022-01-26;34;5;8;10;37;False
2022-01-27;25;0;16;5;41;False
2022-01-28;22;2;21;7;28;False
2022-01-29;26;0;14;0;34;False
2022-01-30;24;0;11;8;41;False
2022-01-31;27;5;14;0;47;False
