date;Trade policy;France;European Union;Portugal;air travel;isPartial
2022-01-01;0;43;1;18;1;False
2022-01-02;0;51;1;18;2;False
2022-01-03;0;51;0;20;1;False
2022-01-04;0;66;1;20;1;False
2022-01-05;0;73;1;21;2;False
2022-01-06;0;62;1;22;2;False
2022-01-07;0;55;1;21;2;False
2022-01-08;0;56;0;23;2;False
2022-01-09;0;59;1;26;1;False
2022-01-10;0;62;1;21;2;False
2022-01-11;0;60;1;23;2;False
2022-01-12;0;95;1;22;2;False
2022-01-13;1;100;1;26;2;False
2022-01-14;0;58;1;21;2;False
2022-01-15;0;60;1;23;2;False
2022-01-16;0;66;1;29;2;False
2022-01-17;0;58;1;23;2;False
2022-01-18;0;51;1;22;1;False
2022-01-19;0;52;1;21;2;False
2022-01-20;0;52;1;22;1;False
2022-01-21;0;48;1;22;1;False
2022-01-22;0;50;1;23;1;False
2022-01-23;0;59;1;29;2;False
2022-01-24;0;68;1;32;2;False
2022-01-25;0;51;1;29;1;False
2022-01-26;0;51;1;25;2;False
2022-01-27;0;50;1;27;2;False
2022-01-28;0;52;1;30;1;False
2022-01-29;0;51;1;27;1;False
2022-01-30;0;54;1;30;2;False
2022-01-31;0;53;1;31;2;False
