date;Morrisons;Ian McEwan;Abraham Lincoln;Franklin D Roosevelt;air travel;isPartial
2022-01-01;100;0;0;0;1;False
2022-01-02;55;0;0;0;1;False
2022-01-03;69;0;1;0;1;False
2022-01-04;35;0;1;0;1;False
2022-01-05;33;0;1;0;1;False
2022-01-06;31;0;0;0;1;False
2022-01-07;33;0;0;0;1;False
2022-01-08;38;0;0;0;1;False
2022-01-09;43;0;0;0;1;False
2022-01-10;40;0;0;0;2;False
2022-01-11;33;0;0;0;1;False
2022-01-12;32;0;1;0;1;False
2022-01-13;35;0;0;0;2;False
2022-01-14;33;0;0;0;1;False
2022-01-15;39;0;0;0;1;False
2022-01-16;42;0;0;0;1;False
2022-01-17;35;0;0;0;1;False
2022-01-18;32;0;0;0;1;False
2022-01-19;31;0;0;0;1;False
2022-01-20;31;0;0;0;1;False
2022-01-21;31;0;0;0;1;False
2022-01-22;34;0;1;0;1;False
2022-01-23;36;0;0;0;1;False
2022-01-24;34;0;0;0;2;False
2022-01-25;30;0;0;0;1;False
2022-01-26;31;0;0;0;1;False
2022-01-27;31;0;0;0;1;False
2022-01-28;33;0;0;0;1;False
2022-01-29;34;0;0;0;1;False
2022-01-30;36;0;1;0;1;False
2022-01-31;34;0;0;0;1;False
