date;West End;The Crown;Teachers' workload;Corruption index and barometer;air travel;isPartial
2022-01-01;77;74;0;0;6;False
2022-01-02;63;87;0;0;12;False
2022-01-03;51;65;0;0;9;False
2022-01-04;53;59;0;0;10;False
2022-01-05;54;54;1;0;14;False
2022-01-06;48;55;0;0;11;False
2022-01-07;51;65;0;0;12;False
2022-01-08;69;73;0;0;13;False
2022-01-09;61;80;2;0;10;False
2022-01-10;52;58;0;0;18;False
2022-01-11;53;56;0;0;14;False
2022-01-12;53;61;0;0;12;False
2022-01-13;62;60;2;0;18;False
2022-01-14;66;67;0;0;15;False
2022-01-15;74;78;1;0;12;False
2022-01-16;67;83;0;0;13;False
2022-01-17;55;59;0;0;12;False
2022-01-18;55;55;1;0;11;False
2022-01-19;57;53;0;0;14;False
2022-01-20;55;58;1;0;10;False
2022-01-21;64;65;0;0;7;False
2022-01-22;85;76;0;0;10;False
2022-01-23;75;78;0;0;13;False
2022-01-24;63;94;0;0;18;False
2022-01-25;55;68;0;0;9;False
2022-01-26;50;58;0;0;12;False
2022-01-27;50;71;0;0;13;False
2022-01-28;62;63;0;0;9;False
2022-01-29;100;73;0;0;11;False
2022-01-30;75;73;1;0;13;False
2022-01-31;61;63;0;0;15;False
