date;artificial intelligence;northern lights;ely photographic club;pollution;air travel;isPartial
2022-01-01;5;40;0;17;10;False
2022-01-02;7;47;0;22;19;False
2022-01-03;7;44;0;25;16;False
2022-01-04;6;32;0;33;14;False
2022-01-05;10;26;0;27;24;False
2022-01-06;11;37;0;33;19;False
2022-01-07;9;31;0;29;19;False
2022-01-08;7;46;0;21;18;False
2022-01-09;9;100;0;27;11;False
2022-01-10;12;67;0;34;29;False
2022-01-11;13;42;0;41;20;False
2022-01-12;13;39;0;44;20;False
2022-01-13;10;37;0;57;23;False
2022-01-14;8;39;0;81;22;False
2022-01-15;6;76;0;42;22;False
2022-01-16;9;71;0;39;24;False
2022-01-17;10;51;0;39;14;False
2022-01-18;9;38;0;52;19;False
2022-01-19;9;34;0;41;21;False
2022-01-20;7;32;0;46;14;False
2022-01-21;10;36;0;35;11;False
2022-01-22;11;48;0;26;16;False
2022-01-23;5;51;0;30;19;False
2022-01-24;13;51;0;44;25;False
2022-01-25;14;28;0;33;14;False
2022-01-26;9;38;0;39;19;False
2022-01-27;11;33;0;37;16;False
2022-01-28;12;32;0;35;13;False
2022-01-29;6;37;0;17;17;False
2022-01-30;8;28;0;23;22;False
2022-01-31;10;32;0;38;26;False
