date;Archaeology;Greece;Toys;Brisbane;air travel;isPartial
2022-01-01;2;38;98;5;2;False
2022-01-02;1;37;95;6;4;False
2022-01-03;2;42;94;5;3;False
2022-01-04;3;37;87;5;3;False
2022-01-05;3;39;76;5;4;False
2022-01-06;3;38;78;6;3;False
2022-01-07;4;39;82;5;4;False
2022-01-08;2;48;96;6;4;False
2022-01-09;3;56;97;7;3;False
2022-01-10;3;46;82;5;5;False
2022-01-11;5;46;72;6;4;False
2022-01-12;4;41;75;6;4;False
2022-01-13;5;44;85;6;6;False
2022-01-14;2;40;78;7;5;False
2022-01-15;2;49;100;7;4;False
2022-01-16;3;59;94;7;4;False
2022-01-17;4;49;72;6;4;False
2022-01-18;3;53;75;4;3;False
2022-01-19;3;41;69;6;4;False
2022-01-20;3;38;70;7;3;False
2022-01-21;2;42;76;6;2;False
2022-01-22;2;46;94;6;3;False
2022-01-23;2;61;92;6;4;False
2022-01-24;3;67;82;6;5;False
2022-01-25;2;57;70;4;3;False
2022-01-26;2;43;73;5;4;False
2022-01-27;3;40;70;4;4;False
2022-01-28;2;39;82;4;3;False
2022-01-29;2;44;98;6;3;False
2022-01-30;2;51;89;6;4;False
2022-01-31;2;44;75;8;5;False
