date;Soil;Bus fares;Stuart Broad;Joe Root;air travel;isPartial
2022-01-01;56;3;0;1;8;False
2022-01-02;62;0;0;5;15;False
2022-01-03;67;2;3;3;12;False
2022-01-04;55;4;3;5;13;False
2022-01-05;58;2;9;4;18;False
2022-01-06;53;0;17;3;15;False
2022-01-07;57;3;4;4;15;False
2022-01-08;54;3;3;6;17;False
2022-01-09;62;0;4;11;13;False
2022-01-10;65;3;5;3;23;False
2022-01-11;68;3;4;12;19;False
2022-01-12;69;3;0;4;16;False
2022-01-13;78;5;1;4;24;False
2022-01-14;57;5;6;4;20;False
2022-01-15;63;0;7;6;16;False
2022-01-16;82;3;5;18;17;False
2022-01-17;71;4;2;4;16;False
2022-01-18;62;6;3;9;14;False
2022-01-19;60;5;2;2;18;False
2022-01-20;61;3;0;1;13;False
2022-01-21;66;3;1;2;9;False
2022-01-22;69;3;2;3;13;False
2022-01-23;79;3;0;4;17;False
2022-01-24;100;5;0;6;23;False
2022-01-25;83;4;0;2;12;False
2022-01-26;73;3;3;0;15;False
2022-01-27;70;3;0;0;17;False
2022-01-28;69;3;2;0;12;False
2022-01-29;62;3;3;2;14;False
2022-01-30;76;4;0;2;17;False
2022-01-31;71;4;0;0;20;False
