date;Pets;Dogs;Animals;Mechanical engineering;air travel;isPartial
2022-01-01;38;94;17;1;1;False
2022-01-02;40;100;18;0;1;False
2022-01-03;38;92;15;1;1;False
2022-01-04;35;78;17;1;1;False
2022-01-05;33;75;18;1;2;False
2022-01-06;32;84;17;1;1;False
2022-01-07;30;79;18;1;1;False
2022-01-08;37;88;18;0;1;False
2022-01-09;37;90;20;1;1;False
2022-01-10;32;81;21;1;2;False
2022-01-11;30;77;21;1;1;False
2022-01-12;30;78;19;1;1;False
2022-01-13;32;80;22;1;2;False
2022-01-14;28;69;19;1;2;False
2022-01-15;37;99;20;0;1;False
2022-01-16;40;98;21;1;2;False
2022-01-17;31;76;18;1;1;False
2022-01-18;28;72;18;1;1;False
2022-01-19;28;77;17;1;1;False
2022-01-20;27;73;17;1;1;False
2022-01-21;29;73;19;1;1;False
2022-01-22;37;95;18;1;1;False
2022-01-23;34;87;22;1;1;False
2022-01-24;31;81;22;1;2;False
2022-01-25;28;71;19;1;1;False
2022-01-26;29;72;22;1;1;False
2022-01-27;29;71;18;1;1;False
2022-01-28;32;82;22;1;1;False
2022-01-29;36;91;21;1;1;False
2022-01-30;36;98;22;0;1;False
2022-01-31;32;69;25;1;2;False
