date;Nutrition and development;Breastfeeding;Health policy;United Nations;air travel;isPartial
2022-01-01;0;91;3;8;10;False
2022-01-02;3;84;5;5;18;False
2022-01-03;2;92;9;10;15;False
2022-01-04;0;79;9;13;15;False
2022-01-05;0;98;14;12;22;False
2022-01-06;0;84;8;12;17;False
2022-01-07;0;93;7;13;18;False
2022-01-08;0;89;6;9;20;False
2022-01-09;0;98;8;12;16;False
2022-01-10;0;90;11;21;28;False
2022-01-11;0;81;8;14;22;False
2022-01-12;0;72;12;15;19;False
2022-01-13;0;96;12;19;28;False
2022-01-14;0;80;12;14;24;False
2022-01-15;0;92;7;9;19;False
2022-01-16;0;91;9;19;21;False
2022-01-17;0;92;16;16;18;False
2022-01-18;0;76;14;14;17;False
2022-01-19;2;80;14;13;21;False
2022-01-20;5;74;18;11;15;False
2022-01-21;5;75;10;10;11;False
2022-01-22;0;77;8;14;15;False
2022-01-23;1;87;8;8;20;False
2022-01-24;2;100;15;18;28;False
2022-01-25;0;70;16;9;14;False
2022-01-26;0;84;16;11;18;False
2022-01-27;0;78;14;9;20;False
2022-01-28;0;73;11;10;14;False
2022-01-29;0;75;5;12;17;False
2022-01-30;0;72;5;19;20;False
2022-01-31;0;80;12;11;24;False
