date;iphones;omicron variant;joe biden;uk royal family;air travel;isPartial
2022-01-01;6;13;6;2;3;False
2022-01-02;7;24;5;2;5;False
2022-01-03;7;12;5;1;4;False
2022-01-04;8;12;5;1;4;False
2022-01-05;6;12;3;1;7;False
2022-01-06;7;8;10;0;5;False
2022-01-07;7;6;6;1;5;False
2022-01-08;9;5;5;0;5;False
2022-01-09;7;7;6;2;3;False
2022-01-10;7;6;4;1;8;False
2022-01-11;8;7;3;0;5;False
2022-01-12;7;5;5;1;6;False
2022-01-13;6;8;6;2;7;False
2022-01-14;5;4;5;1;6;False
2022-01-15;7;4;5;1;6;False
2022-01-16;8;4;6;1;7;False
2022-01-17;6;3;4;1;4;False
2022-01-18;5;10;4;1;5;False
2022-01-19;6;7;6;1;6;False
2022-01-20;6;5;10;1;4;False
2022-01-21;5;10;6;0;3;False
2022-01-22;7;7;6;1;4;False
2022-01-23;5;6;5;1;5;False
2022-01-24;8;7;6;1;7;False
2022-01-25;6;6;9;1;4;False
2022-01-26;8;3;5;0;5;False
2022-01-27;7;5;4;1;5;False
2022-01-28;6;13;6;1;4;False
2022-01-29;5;9;100;0;5;False
2022-01-30;5;6;18;1;6;False
2022-01-31;6;5;6;2;7;False
