date;Audrey Hepburn;Beyoncé;Marc Jacobs;Rebecca Hall;air travel;isPartial
2022-01-01;34;0;100;19;22;False
2022-01-02;93;0;86;4;41;False
2022-01-03;38;3;89;0;33;False
2022-01-04;49;0;66;10;35;False
2022-01-05;24;5;74;4;50;False
2022-01-06;21;0;79;5;40;False
2022-01-07;27;7;52;4;41;False
2022-01-08;53;7;83;0;46;False
2022-01-09;40;4;77;8;36;False
2022-01-10;15;8;58;5;63;False
2022-01-11;35;0;48;29;51;False
2022-01-12;25;6;61;10;44;False
2022-01-13;29;6;70;7;65;False
2022-01-14;25;0;75;0;54;False
2022-01-15;40;7;79;13;43;False
2022-01-16;31;8;83;5;47;False
2022-01-17;26;0;58;0;42;False
2022-01-18;16;5;60;0;38;False
2022-01-19;26;4;58;0;48;False
2022-01-20;29;0;48;5;35;False
2022-01-21;22;4;56;7;25;False
2022-01-22;29;0;66;16;34;False
2022-01-23;45;3;59;7;45;False
2022-01-24;33;13;63;6;63;False
2022-01-25;50;5;62;6;32;False
2022-01-26;10;0;68;0;41;False
2022-01-27;17;3;82;5;46;False
2022-01-28;24;9;72;8;32;False
2022-01-29;28;7;61;0;39;False
2022-01-30;19;3;59;5;46;False
2022-01-31;25;4;61;0;53;False
