date;kazakhstan;russia;nursultan nazarbayev;agriculture;air travel;isPartial
2022-01-01;1;15;0;1;1;False
2022-01-02;1;15;0;2;2;False
2022-01-03;0;14;0;1;2;False
2022-01-04;2;15;0;3;2;False
2022-01-05;20;17;0;2;2;False
2022-01-06;29;16;0;2;2;False
2022-01-07;29;18;0;2;2;False
2022-01-08;15;17;0;1;2;False
2022-01-09;12;17;0;2;2;False
2022-01-10;11;20;0;3;3;False
2022-01-11;5;17;0;3;2;False
2022-01-12;4;19;0;3;2;False
2022-01-13;4;20;0;4;3;False
2022-01-14;3;19;0;2;3;False
2022-01-15;2;22;0;2;2;False
2022-01-16;2;21;0;2;2;False
2022-01-17;2;22;0;3;2;False
2022-01-18;2;26;0;4;2;False
2022-01-19;1;34;0;2;2;False
2022-01-20;2;44;0;3;2;False
2022-01-21;2;62;0;3;1;False
2022-01-22;2;50;0;1;2;False
2022-01-23;1;50;0;2;2;False
2022-01-24;2;100;0;3;3;False
2022-01-25;2;94;0;3;2;False
2022-01-26;2;95;0;3;2;False
2022-01-27;2;71;0;3;2;False
2022-01-28;1;69;0;3;2;False
2022-01-29;0;60;0;2;2;False
2022-01-30;1;54;0;2;2;False
2022-01-31;1;50;0;3;3;False
