date;airbus group;freight transport;manchester united;greater manchester police;air travel;isPartial
2022-01-01;0;0;29;0;1;False
2022-01-02;0;0;30;1;2;False
2022-01-03;0;0;77;0;2;False
2022-01-04;0;0;25;0;2;False
2022-01-05;0;0;24;0;2;False
2022-01-06;0;0;25;1;2;False
2022-01-07;0;0;26;0;2;False
2022-01-08;0;0;29;0;2;False
2022-01-09;0;0;32;0;2;False
2022-01-10;0;0;100;0;3;False
2022-01-11;0;0;32;0;2;False
2022-01-12;0;0;24;0;2;False
2022-01-13;0;0;27;1;3;False
2022-01-14;0;0;22;0;3;False
2022-01-15;0;0;77;0;2;False
2022-01-16;0;0;29;0;2;False
2022-01-17;0;0;24;0;2;False
2022-01-18;0;0;22;0;2;False
2022-01-19;0;0;55;0;2;False
2022-01-20;0;0;31;1;2;False
2022-01-21;0;0;24;0;1;False
2022-01-22;1;0;76;0;2;False
2022-01-23;0;0;30;0;2;False
2022-01-24;0;0;24;0;3;False
2022-01-25;0;0;22;0;1;False
2022-01-26;0;0;22;0;2;False
2022-01-27;0;1;21;0;2;False
2022-01-28;0;0;22;0;1;False
2022-01-29;0;0;28;0;2;False
2022-01-30;0;0;53;1;2;False
2022-01-31;0;0;42;1;3;False
