date;Green economy;Insulate Britain;Comedy films;Ageing;air travel;isPartial
2022-01-01;0;11;60;25;34;False
2022-01-02;0;9;33;25;63;False
2022-01-03;0;15;28;27;51;False
2022-01-04;0;6;18;50;54;False
2022-01-05;0;6;21;34;77;False
2022-01-06;9;0;6;37;61;False
2022-01-07;0;13;22;22;63;False
2022-01-08;0;7;48;33;71;False
2022-01-09;6;0;22;35;55;False
2022-01-10;0;15;10;50;97;False
2022-01-11;0;0;22;43;79;False
2022-01-12;0;12;22;38;67;False
2022-01-13;0;0;19;42;100;False
2022-01-14;0;12;19;28;84;False
2022-01-15;0;0;30;37;66;False
2022-01-16;10;18;24;34;72;False
2022-01-17;13;15;28;24;65;False
2022-01-18;7;0;0;49;59;False
2022-01-19;0;4;11;52;74;False
2022-01-20;6;19;25;47;54;False
2022-01-21;6;0;19;41;38;False
2022-01-22;0;29;47;23;53;False
2022-01-23;4;0;41;44;69;False
2022-01-24;0;11;7;59;97;False
2022-01-25;0;5;18;35;49;False
2022-01-26;5;0;0;46;64;False
2022-01-27;0;10;7;44;71;False
2022-01-28;14;9;21;33;49;False
2022-01-29;8;8;42;24;60;False
2022-01-30;0;0;31;44;71;False
2022-01-31;0;5;19;48;82;False
