date;Peter Tatchell;HS2;Andy Burnham;Ana de Armas;air travel;isPartial
2022-01-01;4;5;2;15;6;False
2022-01-02;0;7;2;8;12;False
2022-01-03;2;13;9;7;10;False
2022-01-04;0;12;25;6;10;False
2022-01-05;0;10;39;10;14;False
2022-01-06;2;11;25;6;12;False
2022-01-07;0;10;17;9;12;False
2022-01-08;1;6;16;12;13;False
2022-01-09;1;9;9;9;10;False
2022-01-10;0;13;10;6;18;False
2022-01-11;0;29;5;4;15;False
2022-01-12;0;19;9;5;13;False
2022-01-13;0;21;6;6;19;False
2022-01-14;1;12;9;7;16;False
2022-01-15;3;10;7;9;12;False
2022-01-16;0;13;5;10;14;False
2022-01-17;0;15;2;6;12;False
2022-01-18;0;16;4;7;11;False
2022-01-19;1;11;7;3;14;False
2022-01-20;2;16;5;5;10;False
2022-01-21;0;12;5;5;7;False
2022-01-22;0;7;3;100;10;False
2022-01-23;0;13;4;40;13;False
2022-01-24;0;32;2;20;18;False
2022-01-25;2;17;2;11;9;False
2022-01-26;0;13;2;7;12;False
2022-01-27;0;12;0;5;13;False
2022-01-28;0;18;1;6;9;False
2022-01-29;7;9;2;4;11;False
2022-01-30;3;9;2;10;13;False
2022-01-31;5;15;5;5;16;False
