date;chicago;el chapo;opioids;cancer;air travel;isPartial
2022-01-01;24;1;0;68;1;False
2022-01-02;28;1;0;72;2;False
2022-01-03;25;1;0;97;2;False
2022-01-04;22;1;0;82;2;False
2022-01-05;24;1;1;90;3;False
2022-01-06;22;1;0;89;2;False
2022-01-07;22;1;1;82;2;False
2022-01-08;28;1;0;79;3;False
2022-01-09;28;1;1;81;2;False
2022-01-10;24;1;0;91;4;False
2022-01-11;22;1;0;88;3;False
2022-01-12;21;1;1;84;3;False
2022-01-13;25;1;0;96;4;False
2022-01-14;23;1;0;81;3;False
2022-01-15;30;1;1;84;3;False
2022-01-16;34;1;0;87;3;False
2022-01-17;24;1;0;92;2;False
2022-01-18;22;1;0;85;2;False
2022-01-19;22;1;0;80;3;False
2022-01-20;23;2;0;84;2;False
2022-01-21;25;1;1;80;1;False
2022-01-22;28;0;0;76;2;False
2022-01-23;25;2;0;81;3;False
2022-01-24;25;1;1;100;4;False
2022-01-25;23;1;0;81;2;False
2022-01-26;21;1;0;84;2;False
2022-01-27;23;1;0;80;3;False
2022-01-28;23;1;0;80;2;False
2022-01-29;31;1;1;78;2;False
2022-01-30;26;1;0;74;3;False
2022-01-31;20;1;0;84;3;False
