date;Melania Trump;Ken Livingstone;West Bromwich Albion;Peterborough;air travel;isPartial
2022-01-01;0;1;3;63;2;False
2022-01-02;1;0;5;60;4;False
2022-01-03;0;0;1;61;3;False
2022-01-04;2;0;1;67;4;False
2022-01-05;1;0;1;68;5;False
2022-01-06;0;1;1;60;4;False
2022-01-07;0;0;3;66;4;False
2022-01-08;1;0;4;76;5;False
2022-01-09;1;0;2;63;4;False
2022-01-10;1;0;2;69;6;False
2022-01-11;1;0;2;60;5;False
2022-01-12;1;0;1;60;4;False
2022-01-13;1;0;2;64;7;False
2022-01-14;0;0;1;59;6;False
2022-01-15;2;0;4;83;4;False
2022-01-16;1;0;2;65;5;False
2022-01-17;0;1;2;66;4;False
2022-01-18;1;0;3;59;4;False
2022-01-19;0;0;1;56;5;False
2022-01-20;0;0;1;61;4;False
2022-01-21;1;0;1;63;3;False
2022-01-22;0;1;3;71;4;False
2022-01-23;0;0;2;58;5;False
2022-01-24;1;0;2;78;6;False
2022-01-25;0;0;1;71;3;False
2022-01-26;1;0;4;58;4;False
2022-01-27;1;0;2;60;5;False
2022-01-28;1;0;3;73;3;False
2022-01-29;1;0;5;100;4;False
2022-01-30;0;0;2;59;5;False
2022-01-31;0;1;3;66;5;False
