date;rome;tom moore;black lives matter;beijing winter olympics;air travel;isPartial
2022-01-01;45;5;1;2;4;False
2022-01-02;58;0;7;1;8;False
2022-01-03;56;0;1;2;8;False
2022-01-04;49;0;2;0;8;False
2022-01-05;56;0;4;1;11;False
2022-01-06;52;0;2;1;9;False
2022-01-07;49;1;2;1;9;False
2022-01-08;62;2;2;1;9;False
2022-01-09;82;2;3;2;7;False
2022-01-10;58;1;3;1;11;False
2022-01-11;64;1;3;0;9;False
2022-01-12;56;0;4;0;11;False
2022-01-13;61;2;2;0;11;False
2022-01-14;56;0;4;0;11;False
2022-01-15;65;0;0;0;9;False
2022-01-16;83;2;0;1;11;False
2022-01-17;66;2;2;1;8;False
2022-01-18;64;1;2;2;8;False
2022-01-19;59;1;1;2;11;False
2022-01-20;89;3;3;2;5;False
2022-01-21;71;1;3;0;3;False
2022-01-22;78;1;2;2;9;False
2022-01-23;100;1;2;2;10;False
2022-01-24;86;1;2;1;11;False
2022-01-25;65;1;2;2;6;False
2022-01-26;63;3;3;2;8;False
2022-01-27;50;2;2;0;7;False
2022-01-28;64;0;3;2;6;False
2022-01-29;65;2;2;5;7;False
2022-01-30;82;3;4;1;8;False
2022-01-31;70;4;1;2;11;False
