date;Pulp Fiction;Hull Truck theatre;Nicolas Cage;Travel photography;air travel;isPartial
2022-01-01;35;0;49;0;21;False
2022-01-02;33;0;45;0;39;False
2022-01-03;18;7;27;0;32;False
2022-01-04;24;0;22;0;33;False
2022-01-05;24;0;24;0;47;False
2022-01-06;23;7;34;0;38;False
2022-01-07;100;0;87;0;39;False
2022-01-08;59;0;59;3;44;False
2022-01-09;43;4;58;3;34;False
2022-01-10;33;0;44;3;60;False
2022-01-11;23;0;38;0;49;False
2022-01-12;28;0;21;0;42;False
2022-01-13;76;0;16;4;62;False
2022-01-14;44;0;15;3;52;False
2022-01-15;47;0;45;0;41;False
2022-01-16;38;4;66;0;45;False
2022-01-17;19;8;43;0;40;False
2022-01-18;12;0;38;7;36;False
2022-01-19;13;0;31;6;46;False
2022-01-20;22;0;47;0;33;False
2022-01-21;33;0;40;3;23;False
2022-01-22;26;0;37;0;33;False
2022-01-23;30;0;34;0;42;False
2022-01-24;25;0;24;6;60;False
2022-01-25;23;6;11;6;30;False
2022-01-26;17;0;22;0;39;False
2022-01-27;31;3;25;5;44;False
2022-01-28;35;6;23;9;31;False
2022-01-29;41;7;37;11;37;False
2022-01-30;29;0;23;0;44;False
2022-01-31;26;6;25;0;51;False
