date;John C Reilly;Commonwealth Games;Water transport;Coronation Street;air travel;isPartial
2022-01-01;0;9;0;84;4;False
2022-01-02;1;6;1;53;8;False
2022-01-03;0;7;0;98;6;False
2022-01-04;1;6;0;91;7;False
2022-01-05;1;7;2;72;10;False
2022-01-06;0;5;1;46;8;False
2022-01-07;0;4;1;53;8;False
2022-01-08;0;4;1;75;9;False
2022-01-09;0;4;2;53;7;False
2022-01-10;1;7;4;65;12;False
2022-01-11;1;20;1;57;10;False
2022-01-12;0;6;2;80;8;False
2022-01-13;0;12;2;60;12;False
2022-01-14;0;7;1;86;10;False
2022-01-15;2;10;0;59;8;False
2022-01-16;1;9;1;94;9;False
2022-01-17;0;11;1;61;8;False
2022-01-18;0;10;1;40;7;False
2022-01-19;0;11;0;47;9;False
2022-01-20;1;11;1;42;7;False
2022-01-21;0;10;1;63;5;False
2022-01-22;1;6;1;49;7;False
2022-01-23;2;9;0;38;9;False
2022-01-24;1;6;1;100;12;False
2022-01-25;1;7;1;51;6;False
2022-01-26;0;6;1;69;8;False
2022-01-27;1;7;2;62;9;False
2022-01-28;0;20;2;77;6;False
2022-01-29;0;9;0;79;7;False
2022-01-30;1;7;2;58;9;False
2022-01-31;0;7;1;67;10;False
