date;Ethiopian food and drink;geology;Scandinavian food and drink;tonga volcano and tsunami;air travel;isPartial
2022-01-01;0;20;0;0;34;False
2022-01-02;0;18;0;0;63;False
2022-01-03;0;17;0;0;51;False
2022-01-04;0;34;0;0;54;False
2022-01-05;0;37;0;0;77;False
2022-01-06;0;43;0;0;61;False
2022-01-07;0;24;0;0;63;False
2022-01-08;0;78;0;0;71;False
2022-01-09;0;45;0;0;55;False
2022-01-10;0;35;0;0;97;False
2022-01-11;0;41;0;0;79;False
2022-01-12;0;33;0;0;67;False
2022-01-13;0;34;0;0;100;False
2022-01-14;0;36;0;0;84;False
2022-01-15;0;34;0;0;66;False
2022-01-16;0;36;0;0;72;False
2022-01-17;0;48;0;0;65;False
2022-01-18;0;45;0;0;59;False
2022-01-19;0;40;0;0;74;False
2022-01-20;0;29;0;0;54;False
2022-01-21;0;45;0;0;38;False
2022-01-22;0;24;0;0;53;False
2022-01-23;0;39;0;0;69;False
2022-01-24;0;52;0;0;97;False
2022-01-25;0;55;0;0;49;False
2022-01-26;0;54;0;0;64;False
2022-01-27;0;25;0;0;71;False
2022-01-28;0;32;0;0;49;False
2022-01-29;0;29;0;0;60;False
2022-01-30;0;31;0;0;71;False
2022-01-31;0;32;0;0;82;False
