date;Dynamo Kyiv;Knife crime;Ethical money;MLB;air travel;isPartial
2022-01-01;0;18;0;44;34;False
2022-01-02;0;16;0;49;63;False
2022-01-03;0;23;0;57;51;False
2022-01-04;0;48;10;47;54;False
2022-01-05;0;28;0;33;77;False
2022-01-06;0;9;0;27;61;False
2022-01-07;0;30;9;45;63;False
2022-01-08;0;13;0;52;71;False
2022-01-09;0;34;0;48;55;False
2022-01-10;0;20;0;41;97;False
2022-01-11;0;27;0;32;79;False
2022-01-12;5;19;0;23;67;False
2022-01-13;7;31;0;28;100;False
2022-01-14;0;26;0;48;84;False
2022-01-15;0;16;10;52;66;False
2022-01-16;0;9;0;21;72;False
2022-01-17;0;24;0;41;65;False
2022-01-18;0;36;8;33;59;False
2022-01-19;0;19;0;38;74;False
2022-01-20;0;26;0;30;54;False
2022-01-21;0;27;0;31;38;False
2022-01-22;4;10;0;19;53;False
2022-01-23;0;20;6;40;69;False
2022-01-24;0;18;0;45;97;False
2022-01-25;0;21;0;44;49;False
2022-01-26;7;33;0;55;64;False
2022-01-27;0;21;0;43;71;False
2022-01-28;6;14;8;27;49;False
2022-01-29;0;22;0;53;60;False
2022-01-30;6;9;0;51;71;False
2022-01-31;0;26;0;48;82;False
