date;Fracking;Angela Rayner;British army;Discrimination at work;air travel;isPartial
2022-01-01;0;2;19;0;6;False
2022-01-02;0;2;23;1;12;False
2022-01-03;2;0;21;1;10;False
2022-01-04;2;2;20;1;10;False
2022-01-05;1;90;22;0;15;False
2022-01-06;0;56;22;2;12;False
2022-01-07;3;21;22;1;12;False
2022-01-08;4;16;20;0;14;False
2022-01-09;1;9;26;0;11;False
2022-01-10;3;30;23;1;19;False
2022-01-11;2;55;23;0;15;False
2022-01-12;2;100;25;0;13;False
2022-01-13;2;32;26;4;19;False
2022-01-14;2;25;24;1;16;False
2022-01-15;2;16;23;2;13;False
2022-01-16;1;12;30;0;14;False
2022-01-17;5;8;24;6;12;False
2022-01-18;2;16;27;3;11;False
2022-01-19;0;28;20;0;14;False
2022-01-20;1;17;25;1;10;False
2022-01-21;0;6;23;1;7;False
2022-01-22;1;11;26;0;10;False
2022-01-23;3;75;24;1;13;False
2022-01-24;3;51;37;0;19;False
2022-01-25;3;66;27;0;9;False
2022-01-26;3;30;23;0;12;False
2022-01-27;3;14;26;3;14;False
2022-01-28;1;13;26;0;9;False
2022-01-29;0;5;32;0;12;False
2022-01-30;4;6;28;0;14;False
2022-01-31;1;17;25;0;16;False
