date;Self-driving cars;Roy Hodgson;Watford;Advertising Standards Authority;air travel;isPartial
2022-01-01;0;0;100;0;1;False
2022-01-02;0;0;42;0;2;False
2022-01-03;0;0;34;0;2;False
2022-01-04;0;0;33;0;2;False
2022-01-05;0;0;31;0;3;False
2022-01-06;0;0;30;0;2;False
2022-01-07;0;1;32;0;2;False
2022-01-08;1;0;56;0;2;False
2022-01-09;0;0;34;0;2;False
2022-01-10;0;0;30;0;3;False
2022-01-11;0;0;28;0;3;False
2022-01-12;0;0;30;0;2;False
2022-01-13;0;0;35;0;3;False
2022-01-14;0;0;34;0;3;False
2022-01-15;0;0;69;0;2;False
2022-01-16;0;0;34;0;2;False
2022-01-17;0;0;32;0;2;False
2022-01-18;0;0;30;1;2;False
2022-01-19;0;0;25;0;3;False
2022-01-20;0;0;28;0;2;False
2022-01-21;0;0;81;0;1;False
2022-01-22;0;0;50;0;2;False
2022-01-23;0;0;37;0;2;False
2022-01-24;0;3;54;0;3;False
2022-01-25;0;17;40;0;2;False
2022-01-26;0;5;32;0;2;False
2022-01-27;0;2;29;0;2;False
2022-01-28;0;2;32;0;2;False
2022-01-29;0;1;34;0;2;False
2022-01-30;0;1;30;0;2;False
2022-01-31;0;0;30;0;3;False
