date;Regulators;Pollution;Rafael Nadal;Daniil Medvedev;air travel;isPartial
2022-01-01;1;2;1;0;1;False
2022-01-02;0;3;1;0;3;False
2022-01-03;0;2;1;0;2;False
2022-01-04;1;4;1;0;2;False
2022-01-05;0;4;1;0;3;False
2022-01-06;0;5;6;1;2;False
2022-01-07;0;3;3;0;3;False
2022-01-08;0;3;5;0;3;False
2022-01-09;1;4;5;0;2;False
2022-01-10;1;5;2;0;4;False
2022-01-11;1;6;0;0;3;False
2022-01-12;0;6;2;0;3;False
2022-01-13;1;9;1;1;4;False
2022-01-14;0;12;2;0;3;False
2022-01-15;1;6;2;0;3;False
2022-01-16;0;6;4;0;3;False
2022-01-17;1;6;6;0;3;False
2022-01-18;0;7;2;1;2;False
2022-01-19;1;6;5;0;3;False
2022-01-20;0;6;3;2;2;False
2022-01-21;1;5;11;1;2;False
2022-01-22;1;4;4;1;2;False
2022-01-23;0;4;9;1;3;False
2022-01-24;1;6;5;2;4;False
2022-01-25;0;5;14;1;2;False
2022-01-26;0;5;6;6;3;False
2022-01-27;0;6;6;1;3;False
2022-01-28;1;5;18;9;2;False
2022-01-29;0;3;7;3;2;False
2022-01-30;0;3;100;24;3;False
2022-01-31;0;5;17;3;3;False
