date;12 days of christmas;us capitol riots;jamie dornan;snp;air travel;isPartial
2022-01-01;15;0;82;5;5;False
2022-01-02;26;1;100;9;10;False
2022-01-03;15;1;78;6;8;False
2022-01-04;12;0;57;16;9;False
2022-01-05;15;1;39;12;12;False
2022-01-06;7;0;39;7;10;False
2022-01-07;8;0;43;7;10;False
2022-01-08;6;0;50;8;11;False
2022-01-09;7;1;50;9;9;False
2022-01-10;3;0;33;8;16;False
2022-01-11;5;0;35;8;13;False
2022-01-12;5;0;24;16;11;False
2022-01-13;4;0;35;12;16;False
2022-01-14;4;0;21;8;13;False
2022-01-15;3;0;56;8;11;False
2022-01-16;3;1;47;8;12;False
2022-01-17;2;0;29;6;10;False
2022-01-18;2;1;18;8;9;False
2022-01-19;1;1;22;12;12;False
2022-01-20;1;0;26;15;9;False
2022-01-21;0;0;31;9;6;False
2022-01-22;1;0;35;6;9;False
2022-01-23;4;1;34;10;11;False
2022-01-24;2;0;36;11;16;False
2022-01-25;1;0;22;7;8;False
2022-01-26;2;0;23;15;10;False
2022-01-27;0;0;15;10;11;False
2022-01-28;2;0;25;10;8;False
2022-01-29;0;0;26;5;10;False
2022-01-30;0;0;22;7;11;False
2022-01-31;0;0;20;53;13;False
