date;Extinction Rebellion;Spoken word;NPR;Parthenon marbles;air travel;isPartial
2022-01-01;11;14;8;0;34;False
2022-01-02;0;0;6;22;63;False
2022-01-03;8;5;7;0;51;False
2022-01-04;0;6;0;9;54;False
2022-01-05;7;17;16;0;77;False
2022-01-06;15;28;23;12;61;False
2022-01-07;11;9;0;0;63;False
2022-01-08;0;10;13;16;71;False
2022-01-09;10;11;16;0;55;False
2022-01-10;0;0;0;0;97;False
2022-01-11;5;7;6;7;79;False
2022-01-12;19;7;19;0;67;False
2022-01-13;15;10;7;0;100;False
2022-01-14;19;8;47;0;84;False
2022-01-15;15;0;28;0;66;False
2022-01-16;22;0;19;5;72;False
2022-01-17;21;10;32;0;65;False
2022-01-18;0;6;9;0;59;False
2022-01-19;10;6;9;7;74;False
2022-01-20;16;20;15;9;54;False
2022-01-21;0;7;12;0;38;False
2022-01-22;8;10;24;0;53;False
2022-01-23;9;24;12;0;69;False
2022-01-24;19;9;18;0;97;False
2022-01-25;12;0;20;0;49;False
2022-01-26;5;6;11;0;64;False
2022-01-27;14;9;8;0;71;False
2022-01-28;15;11;10;4;49;False
2022-01-29;5;8;9;0;60;False
2022-01-30;10;6;13;0;71;False
2022-01-31;12;13;6;0;82;False
