date;Taskmaster;Animation in film;Family films;Bitcoin;air travel;isPartial
2022-01-01;12;0;2;35;1;False
2022-01-02;7;0;1;32;2;False
2022-01-03;6;0;1;36;2;False
2022-01-04;4;0;1;41;3;False
2022-01-05;4;0;1;49;3;False
2022-01-06;4;0;0;56;2;False
2022-01-07;4;0;1;63;2;False
2022-01-08;4;0;2;58;2;False
2022-01-09;3;0;1;49;2;False
2022-01-10;3;0;0;57;3;False
2022-01-11;3;0;0;54;2;False
2022-01-12;3;0;0;44;2;False
2022-01-13;3;0;0;48;3;False
2022-01-14;3;0;0;38;3;False
2022-01-15;3;0;1;35;2;False
2022-01-16;3;0;1;35;3;False
2022-01-17;2;0;1;38;1;False
2022-01-18;2;0;0;38;2;False
2022-01-19;2;0;0;35;2;False
2022-01-20;2;0;0;38;2;False
2022-01-21;2;0;1;73;1;False
2022-01-22;2;0;2;100;2;False
2022-01-23;3;0;1;66;2;False
2022-01-24;2;0;0;95;3;False
2022-01-25;3;0;0;62;2;False
2022-01-26;2;0;0;61;2;False
2022-01-27;2;0;0;50;2;False
2022-01-28;3;0;1;51;2;False
2022-01-29;3;0;1;40;2;False
2022-01-30;2;0;1;42;3;False
2022-01-31;3;0;1;48;3;False
