date;The moon;Disability and sport;Honours system;Yellowjackets;air travel;isPartial
2022-01-01;30;0;2;5;2;False
2022-01-02;33;0;0;4;4;False
2022-01-03;27;0;0;5;3;False
2022-01-04;27;1;0;5;3;False
2022-01-05;34;0;0;4;5;False
2022-01-06;31;0;0;7;4;False
2022-01-07;29;0;0;4;4;False
2022-01-08;33;0;0;7;4;False
2022-01-09;37;0;0;9;3;False
2022-01-10;29;0;0;9;6;False
2022-01-11;31;0;0;6;5;False
2022-01-12;40;0;0;5;4;False
2022-01-13;36;0;0;7;6;False
2022-01-14;33;0;0;5;5;False
2022-01-15;36;0;0;9;4;False
2022-01-16;61;0;0;15;4;False
2022-01-17;100;1;0;15;4;False
2022-01-18;88;0;0;13;4;False
2022-01-19;88;0;0;10;5;False
2022-01-20;85;0;0;15;3;False
2022-01-21;70;0;0;13;2;False
2022-01-22;72;1;0;16;3;False
2022-01-23;64;0;0;17;4;False
2022-01-24;42;0;0;15;6;False
2022-01-25;35;0;0;11;3;False
2022-01-26;39;0;0;9;4;False
2022-01-27;39;0;0;10;4;False
2022-01-28;37;0;0;10;3;False
2022-01-29;38;0;0;7;4;False
2022-01-30;34;0;0;10;4;False
2022-01-31;38;0;0;8;5;False
