date;tigray people's liberation front;pigs;british armed forces;julie james;air travel;isPartial
2022-01-01;0;85;0;1;7;False
2022-01-02;0;80;1;0;14;False
2022-01-03;0;71;0;2;11;False
2022-01-04;0;68;2;2;11;False
2022-01-05;0;63;0;0;16;False
2022-01-06;0;60;0;0;12;False
2022-01-07;0;73;1;1;12;False
2022-01-08;0;64;0;2;15;False
2022-01-09;0;78;0;0;9;False
2022-01-10;0;69;3;1;19;False
2022-01-11;0;100;4;0;13;False
2022-01-12;0;74;0;0;15;False
2022-01-13;0;76;2;1;17;False
2022-01-14;0;72;0;0;15;False
2022-01-15;0;71;0;2;15;False
2022-01-16;0;90;0;1;17;False
2022-01-17;0;63;1;0;11;False
2022-01-18;0;57;0;1;10;False
2022-01-19;0;49;0;0;15;False
2022-01-20;0;69;1;0;10;False
2022-01-21;0;62;1;0;9;False
2022-01-22;0;77;0;2;8;False
2022-01-23;0;73;1;0;15;False
2022-01-24;0;65;0;2;17;False
2022-01-25;0;62;1;1;10;False
2022-01-26;0;56;2;0;13;False
2022-01-27;0;57;0;2;12;False
2022-01-28;0;62;0;0;13;False
2022-01-29;0;74;0;0;10;False
2022-01-30;0;78;2;5;13;False
2022-01-31;0;58;1;0;16;False
