date;The Good Place;Parks and Recreation;Environmental activism;Elton John;air travel;isPartial
2022-01-01;9;2;0;84;6;False
2022-01-02;5;7;1;53;11;False
2022-01-03;5;2;3;35;9;False
2022-01-04;7;3;0;100;9;False
2022-01-05;7;3;1;41;13;False
2022-01-06;8;3;0;31;10;False
2022-01-07;8;1;0;33;11;False
2022-01-08;6;2;0;51;12;False
2022-01-09;8;4;0;86;9;False
2022-01-10;8;1;0;33;16;False
2022-01-11;5;0;0;28;13;False
2022-01-12;5;4;0;27;11;False
2022-01-13;5;3;0;29;17;False
2022-01-14;6;4;0;25;14;False
2022-01-15;7;4;2;51;11;False
2022-01-16;8;5;0;38;12;False
2022-01-17;10;3;0;27;11;False
2022-01-18;9;4;0;22;10;False
2022-01-19;8;3;0;20;13;False
2022-01-20;6;3;0;21;9;False
2022-01-21;6;2;0;39;6;False
2022-01-22;8;6;0;43;9;False
2022-01-23;8;5;0;44;12;False
2022-01-24;7;4;0;33;16;False
2022-01-25;8;2;0;38;8;False
2022-01-26;7;4;0;46;11;False
2022-01-27;7;3;0;28;12;False
2022-01-28;7;4;1;38;8;False
2022-01-29;9;2;0;48;10;False
2022-01-30;12;5;0;37;12;False
2022-01-31;8;5;2;23;14;False
