date;Bahamas;Jacksonville Jaguars;College football;College sports;air travel;isPartial
2022-01-01;44;2;80;7;12;False
2022-01-02;41;5;12;7;23;False
2022-01-03;47;0;14;9;18;False
2022-01-04;39;2;10;15;19;False
2022-01-05;41;3;17;10;28;False
2022-01-06;40;0;9;10;22;False
2022-01-07;51;3;11;10;23;False
2022-01-08;51;4;25;16;26;False
2022-01-09;100;23;17;10;20;False
2022-01-10;68;4;18;9;35;False
2022-01-11;48;0;39;14;28;False
2022-01-12;40;3;10;15;24;False
2022-01-13;48;0;13;7;36;False
2022-01-14;45;3;9;7;30;False
2022-01-15;51;2;8;15;24;False
2022-01-16;68;7;12;12;26;False
2022-01-17;45;3;12;9;23;False
2022-01-18;39;3;10;12;21;False
2022-01-19;32;0;7;10;27;False
2022-01-20;37;0;11;10;19;False
2022-01-21;35;0;12;10;14;False
2022-01-22;43;0;10;11;19;False
2022-01-23;56;2;9;11;25;False
2022-01-24;46;2;6;12;35;False
2022-01-25;39;0;13;11;18;False
2022-01-26;48;0;13;8;23;False
2022-01-27;42;0;6;10;26;False
2022-01-28;42;0;7;10;18;False
2022-01-29;45;2;9;11;22;False
2022-01-30;46;2;9;9;26;False
2022-01-31;37;2;9;11;30;False
