date;Newspapers & magazines;Energy;Fossil fuels;Anthony Albanese;air travel;isPartial
2022-01-01;0;31;0;0;1;False
2022-01-02;0;41;1;0;1;False
2022-01-03;0;45;0;0;1;False
2022-01-04;0;66;0;0;1;False
2022-01-05;0;75;1;0;2;False
2022-01-06;0;68;1;0;1;False
2022-01-07;0;70;0;0;1;False
2022-01-08;0;46;0;0;2;False
2022-01-09;0;49;0;0;1;False
2022-01-10;0;74;0;0;2;False
2022-01-11;0;76;0;0;2;False
2022-01-12;0;75;0;0;2;False
2022-01-13;0;73;1;0;2;False
2022-01-14;0;57;0;0;2;False
2022-01-15;0;48;0;0;2;False
2022-01-16;0;54;1;0;2;False
2022-01-17;0;82;1;0;2;False
2022-01-18;0;78;1;0;1;False
2022-01-19;0;68;1;0;2;False
2022-01-20;0;69;1;0;1;False
2022-01-21;0;69;0;0;1;False
2022-01-22;0;46;0;0;1;False
2022-01-23;0;45;1;0;2;False
2022-01-24;0;100;1;0;2;False
2022-01-25;0;72;1;0;1;False
2022-01-26;0;72;1;0;1;False
2022-01-27;0;66;1;0;2;False
2022-01-28;0;62;1;0;1;False
2022-01-29;0;45;1;0;1;False
2022-01-30;0;46;1;0;2;False
2022-01-31;0;74;0;0;2;False
