date;greater manchester;oldham;dublin;ireland;air travel;isPartial
2022-01-01;3;25;22;74;1;False
2022-01-02;4;21;23;78;2;False
2022-01-03;2;22;22;80;2;False
2022-01-04;4;28;26;89;2;False
2022-01-05;5;22;22;89;3;False
2022-01-06;4;21;22;85;2;False
2022-01-07;4;24;23;81;2;False
2022-01-08;2;23;27;76;2;False
2022-01-09;3;20;28;79;2;False
2022-01-10;4;25;42;92;3;False
2022-01-11;4;22;28;83;3;False
2022-01-12;5;21;26;82;2;False
2022-01-13;3;24;27;97;3;False
2022-01-14;4;20;23;81;3;False
2022-01-15;3;19;26;83;2;False
2022-01-16;3;20;30;85;2;False
2022-01-17;4;22;26;90;2;False
2022-01-18;4;18;26;87;2;False
2022-01-19;4;20;26;80;3;False
2022-01-20;3;19;26;83;2;False
2022-01-21;3;21;27;82;1;False
2022-01-22;3;21;29;79;2;False
2022-01-23;3;19;33;83;2;False
2022-01-24;5;27;34;100;3;False
2022-01-25;3;20;29;84;2;False
2022-01-26;3;21;32;85;2;False
2022-01-27;4;21;28;78;2;False
2022-01-28;4;23;31;81;2;False
2022-01-29;2;28;30;82;2;False
2022-01-30;4;20;29;80;2;False
2022-01-31;4;23;29;88;3;False
