date;Robert Lewandowski;Jean-Luc Mélenchon;History;University of Warwick;air travel;isPartial
2022-01-01;0;0;73;1;1;False
2022-01-02;0;0;78;0;2;False
2022-01-03;0;0;72;0;2;False
2022-01-04;1;0;76;1;2;False
2022-01-05;0;0;82;1;2;False
2022-01-06;0;0;78;1;2;False
2022-01-07;0;0;77;1;2;False
2022-01-08;0;0;80;1;2;False
2022-01-09;0;0;78;1;2;False
2022-01-10;0;0;83;1;3;False
2022-01-11;0;0;79;1;2;False
2022-01-12;0;0;82;1;2;False
2022-01-13;0;0;87;1;3;False
2022-01-14;0;0;75;1;3;False
2022-01-15;1;0;80;0;2;False
2022-01-16;1;0;87;1;2;False
2022-01-17;1;0;82;1;2;False
2022-01-18;0;0;79;1;2;False
2022-01-19;0;0;74;1;2;False
2022-01-20;0;0;75;1;2;False
2022-01-21;0;0;76;1;1;False
2022-01-22;0;0;76;1;2;False
2022-01-23;0;0;85;1;2;False
2022-01-24;0;0;100;1;3;False
2022-01-25;0;0;80;1;2;False
2022-01-26;0;0;81;1;2;False
2022-01-27;0;0;73;1;2;False
2022-01-28;0;0;83;1;2;False
2022-01-29;0;0;79;1;2;False
2022-01-30;1;0;75;1;2;False
2022-01-31;0;0;83;1;3;False
