;Url;Error
0;https://web.archive.org/web/20230120052306/https://www.skysports.com/share/12788112;list index out of range
1;https://web.archive.org/web/20230120052306/https://www.skysports.com/share/12789925;list index out of range
2;https://web.archive.org/web/20230120052306/https://www.skysports.com/share/12790490;list index out of range
3;https://web.archive.org/web/20230120052306/https://www.facebook.com/skynews;list index out of range
4;https://web.archive.org/web/20230120052306/https://twitter.com/SkyNews;list index out of range
5;https://web.archive.org/web/20230120052306/https://www.youtube.com/user/skynews;list index out of range
6;https://web.archive.org/web/20230120052306/https://www.instagram.com/skynews/;list index out of range
7;https://web.archive.org/web/20230120052306/https://www.sky.com/watch/channel/sky-one;list index out of range
8;https://web.archive.org/web/20230120052306/https://www.sky.com/watch/channel/sky-witness;list index out of range
9;https://web.archive.org/web/20230120052306/https://www.sky.com/watch/channel/sky-atlantic;list index out of range
10;https://web.archive.org/web/20230120052306/https://www.sky.com/watch/channel/sky-arts;list index out of range
11;https://web.archive.org/web/20230120052306/https://www.sky.com/watch/channel/sky-cinema;list index out of range
12;https://web.archive.org/web/20230120052306/https://www.skygroup.sky/corporate/bigger-picture;list index out of range
13;https://web.archive.org/web/20230120052306/https://www.sky.com/help/articles/skycom-terms-and-conditions;list index out of range
14;https://web.archive.org/web/20230120052306/https://www.sky.com/help/articles/sky-privacy-and-cookies-notice;list index out of range
15;https://blog.archive.org/2023/03/25/the-fight-continues/;list index out of range
16;https://archive.org/details/radio;list index out of range
17;https://blog.archive.org/2016/10/23/defining-web-pages-web-sites-and-web-captures/;list index out of range
18;https://web.archive.org/web/20230120053259/https://www.skysports.com/share/12788112;list index out of range
19;https://web.archive.org/web/20230120053259/https://www.skysports.com/share/12789925;list index out of range
20;https://web.archive.org/web/20230120053259/https://www.skysports.com/share/12790490;list index out of range
21;https://web.archive.org/web/20230120053259/https://www.facebook.com/skynews;list index out of range
22;https://web.archive.org/web/20230120053259/https://twitter.com/SkyNews;list index out of range
23;https://web.archive.org/web/20230120053259/https://www.youtube.com/user/skynews;list index out of range
24;https://web.archive.org/web/20230120053259/https://www.instagram.com/skynews/;list index out of range
25;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-one;list index out of range
26;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-witness;list index out of range
27;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-atlantic;list index out of range
28;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-arts;list index out of range
29;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-cinema;list index out of range
30;https://web.archive.org/web/20230120053259/https://www.skygroup.sky/corporate/bigger-picture;list index out of range
31;https://web.archive.org/web/20230120053259/https://www.sky.com/help/articles/skycom-terms-and-conditions;list index out of range
32;https://web.archive.org/web/20230120053259/https://www.sky.com/help/articles/sky-privacy-and-cookies-notice;list index out of range
33;https://blog.archive.org/2023/03/25/the-fight-continues/;list index out of range
34;https://archive.org/details/radio;list index out of range
35;https://blog.archive.org/2016/10/23/defining-web-pages-web-sites-and-web-captures/;list index out of range
36;https://web.archive.org/web/20230120053259/https://www.skysports.com/share/12788112;list index out of range
37;https://web.archive.org/web/20230120053259/https://www.skysports.com/share/12789925;list index out of range
38;https://web.archive.org/web/20230120053259/https://www.skysports.com/share/12790490;list index out of range
39;https://web.archive.org/web/20230120053259/https://www.facebook.com/skynews;list index out of range
40;https://web.archive.org/web/20230120053259/https://twitter.com/SkyNews;list index out of range
41;https://web.archive.org/web/20230120053259/https://www.youtube.com/user/skynews;list index out of range
42;https://web.archive.org/web/20230120053259/https://www.instagram.com/skynews/;list index out of range
43;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-one;list index out of range
44;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-witness;list index out of range
45;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-atlantic;list index out of range
46;https://web.archive.org/web/20230120053259/https://www.sky.com/watch/channel/sky-arts;list index out of range
